sector,alloc_effect,select_effect,total_effect
Industrials,-0.0005516743550866741,0.023954866197804656,0.023403191842717982
Financials,0.0004545946279619327,0.008409363941312753,0.008863958569274686
Health Care,0.0015739110241121074,0.00682466273563681,0.008398573759748918
Materials,0.00034924699765690706,0.007847289976726433,0.00819653697438334
Energy,-0.00264994827243857,0.006846087374751373,0.004196139102312803
Real Estate,-3.8389125713345564e-05,0.003708241922442101,0.0036698527967287554
Communication Services,0.00030484241186998836,0.0013896268864101355,0.0016944692982801238
Funds,0.0,0.0,0.0
Consumer Staples,-0.0002215479189890153,0.00012990391171552096,-9.164400727349435e-05
Cash,-0.0003710108981884133,0.0,-0.0003710108981884133
Utilities,-0.00017709147635333036,-0.0007904973424134676,-0.000967588818766798
Consumer Discretionary,-0.0009770439125725793,-0.0018362019369725577,-0.002813245849545137
Information Technology,-0.002074658192540748,-0.004890260484614157,-0.0069649186771549056
