date,symbol,shares
2018-08-28,FLXS,500.0
2018-08-29,APOG,68.0
2018-08-29,ATSG,159.0
2018-08-29,AUD,332.0
2018-08-29,CTLT,61.0
2018-08-29,EBS,62.0
2018-08-29,ITIC,14.0
2018-08-29,MRLN,110.0
2018-08-29,MTX,42.0
2018-08-29,MYGN,77.0
2018-08-29,NMRK,237.0
2018-08-29,NVRI,122.0
2018-08-29,PLAY,61.0
2018-08-29,POR,84.0
2018-08-29,SSTK,66.0
2018-08-29,TWNK,289.0
2018-08-29,WLDN,104.0
2018-08-29,ZUMZ,110.0
2018-08-30,APOG,68.0
2018-08-30,ATSG,159.0
2018-08-30,AUD,332.0
2018-08-30,CTLT,61.0
2018-08-30,EBS,62.0
2018-08-30,ITIC,14.0
2018-08-30,MRLN,110.0
2018-08-30,MTX,42.0
2018-08-30,MYGN,77.0
2018-08-30,NMRK,237.0
2018-08-30,NVRI,122.0
2018-08-30,PENG,95.0
2018-08-30,PLAY,61.0
2018-08-30,POR,84.0
2018-08-30,SSTK,66.0
2018-08-30,TWNK,289.0
2018-08-30,WLDN,104.0
2018-08-30,ZUMZ,110.0
2018-08-31,APOG,68.0
2018-08-31,ATSG,159.0
2018-08-31,AUD,332.0
2018-08-31,CTLT,61.0
2018-08-31,EBS,62.0
2018-08-31,ITIC,14.0
2018-08-31,MRLN,110.0
2018-08-31,MTX,42.0
2018-08-31,MYGN,77.0
2018-08-31,NMRK,237.0
2018-08-31,NVRI,122.0
2018-08-31,PENG,95.0
2018-08-31,PLAY,61.0
2018-08-31,POR,84.0
2018-08-31,SSTK,66.0
2018-08-31,TWNK,289.0
2018-08-31,WLDN,104.0
2018-08-31,ZUMZ,110.0
2018-09-01,APOG,68.0
2018-09-01,ATSG,159.0
2018-09-01,AUD,332.0
2018-09-01,CTLT,61.0
2018-09-01,EBS,62.0
2018-09-01,ITIC,14.0
2018-09-01,MRLN,110.0
2018-09-01,MTX,42.0
2018-09-01,MYGN,77.0
2018-09-01,NMRK,237.0
2018-09-01,NVRI,122.0
2018-09-01,PENG,95.0
2018-09-01,PLAY,61.0
2018-09-01,POR,84.0
2018-09-01,SSTK,66.0
2018-09-01,TWNK,289.0
2018-09-01,WLDN,104.0
2018-09-01,ZUMZ,110.0
2018-09-02,APOG,68.0
2018-09-02,ATSG,159.0
2018-09-02,AUD,332.0
2018-09-02,CTLT,61.0
2018-09-02,EBS,62.0
2018-09-02,ITIC,14.0
2018-09-02,MRLN,110.0
2018-09-02,MTX,42.0
2018-09-02,MYGN,77.0
2018-09-02,NMRK,237.0
2018-09-02,NVRI,122.0
2018-09-02,PENG,95.0
2018-09-02,PLAY,61.0
2018-09-02,POR,84.0
2018-09-02,SSTK,66.0
2018-09-02,TWNK,289.0
2018-09-02,WLDN,104.0
2018-09-02,ZUMZ,110.0
2018-09-03,APOG,68.0
2018-09-03,ATSG,159.0
2018-09-03,AUD,332.0
2018-09-03,CTLT,61.0
2018-09-03,EBS,62.0
2018-09-03,ITIC,14.0
2018-09-03,MRLN,110.0
2018-09-03,MTX,42.0
2018-09-03,MYGN,77.0
2018-09-03,NMRK,237.0
2018-09-03,NVRI,122.0
2018-09-03,PENG,95.0
2018-09-03,PLAY,61.0
2018-09-03,POR,84.0
2018-09-03,SSTK,66.0
2018-09-03,TWNK,289.0
2018-09-03,WLDN,104.0
2018-09-03,ZUMZ,110.0
2018-09-04,APOG,68.0
2018-09-04,ATSG,159.0
2018-09-04,AUD,332.0
2018-09-04,CTLT,61.0
2018-09-04,EBS,62.0
2018-09-04,ITIC,14.0
