symbol,candidate_security,name,gics_sector_name,industry_sector,id_bb_global,candidate_returned
ABCB,ABCB US Equity,AMERIS BANCORP,Financials,Financial,BBG000CDY3H5,True
ABCB,__chosen__,ABCB US Equity,Financials,GICS_SECTOR_NAME,,True
ADUS,ADUS US Equity,ADDUS HOMECARE CORP,Health Care,"Consumer, Non-cyclical",BBG000NJGX84,True
ADUS,__chosen__,ADUS US Equity,Health Care,GICS_SECTOR_NAME,,True
AGX,AGX US Equity,ARGAN INC,Industrials,Industrial,BBG000K4J3T0,True
AGX,__chosen__,AGX US Equity,Industrials,GICS_SECTOR_NAME,,True
AIR,AIR US Equity,AAR CORP,Industrials,Industrial,BBG000BBGQF1,True
AIR,__chosen__,AIR US Equity,Industrials,GICS_SECTOR_NAME,,True
AMBA,AMBA US Equity,AMBARELLA INC,Information Technology,Technology,BBG001QZCPJ2,True
AMBA,__chosen__,AMBA US Equity,Information Technology,GICS_SECTOR_NAME,,True
AMCX,AMCX US Equity,AMC NETWORKS INC-A,Communication Services,Communications,BBG000H01H92,True
AMCX,__chosen__,AMCX US Equity,Communication Services,GICS_SECTOR_NAME,,True
AMN,AMN US Equity,AMN HEALTHCARE SERVICES INC,Health Care,"Consumer, Non-cyclical",BBG000BCT197,True
AMN,__chosen__,AMN US Equity,Health Care,GICS_SECTOR_NAME,,True
AMPH,AMPH US Equity,AMPHASTAR PHARMACEUTICALS IN,Health Care,"Consumer, Non-cyclical",BBG000BW90S6,True
AMPH,__chosen__,AMPH US Equity,Health Care,GICS_SECTOR_NAME,,True
APOG,APOG US Equity,APOGEE ENTERPRISES INC,Industrials,Industrial,BBG000BC6L61,True
APOG,__chosen__,APOG US Equity,Industrials,GICS_SECTOR_NAME,,True
ARES,ARES US Equity,ARES MANAGEMENT CORP - A,Financials,Financial,BBG0068KVV91,True
ARES,__chosen__,ARES US Equity,Financials,GICS_SECTOR_NAME,,True
ASGN,ASGN US Equity,ASGN INC,Information Technology,Technology,BBG000CRN8N8,True
ASGN,__chosen__,ASGN US Equity,Information Technology,GICS_SECTOR_NAME,,True
ATKR,ATKR US Equity,ATKORE INC,Industrials,Industrial,BBG000QTFDQ4,True
ATKR,__chosen__,ATKR US Equity,Industrials,GICS_SECTOR_NAME,,True
ATSG,ATSG US Equity,AIR TRANSPORT SERVICES GROUP,Industrials,Industrial,BBG000BLW5F7,True
ATSG,__chosen__,ATSG US Equity,Industrials,GICS_SECTOR_NAME,,True
AUD,AUD US Equity,AUDACY INC,Communication Services,Communications,,True
AUD,__chosen__,AUD US Equity,Communication Services,GICS_SECTOR_NAME,,True
AVA,AVA US Equity,AVISTA CORP,Utilities,Utilities,BBG000BCNF74,True
AVA,__chosen__,AVA US Equity,Utilities,GICS_SECTOR_NAME,,True
AVNT,AVNT US Equity,AVIENT CORP,Materials,Industrial,BBG000C8NJ10,True
AVNT,__chosen__,AVNT US Equity,Materials,GICS_SECTOR_NAME,,True
AWR,AWR US Equity,AMERICAN STATES WATER CO,Utilities,Utilities,BBG000F964B6,True
AWR,__chosen__,AWR US Equity,Utilities,GICS_SECTOR_NAME,,True
AX,AX US Equity,AXOS FINANCIAL INC,Financials,Financial,BBG000QPHD08,True
AX,__chosen__,AX US Equity,Financials,GICS_SECTOR_NAME,,True
AZTA,AZTA US Equity,AZENTA INC,Health Care,"Consumer, Non-cyclical",BBG000DX9JV7,True
AZTA,__chosen__,AZTA US Equity,Health Care,GICS_SECTOR_NAME,,True
BAND,BAND US Equity,BANDWIDTH INC-CLASS A,Communication Services,Technology,BBG001K003W2,True
BAND,__chosen__,BAND US Equity,Communication Services,GICS_SECTOR_NAME,,True
BCML,BCML US Equity,BAYCOM CORP,Financials,Financial,BBG00FWKRBS2,True
BCML,__chosen__,BCML US Equity,Financials,GICS_SECTOR_NAME,,True
BEAT,BEAT US Equity,HEARTBEAM INC,Health Care,"Consumer, Non-cyclical",BBG012F6HZX2,True
BEAT,__chosen__,BEAT US Equity,Health Care,GICS_SECTOR_NAME,,True
BJ,BJ US Equity,BJ'S WHOLESALE CLUB HOLDINGS,Consumer Staples,"Consumer, Cyclical",BBG00FQ8T4G3,True
BJ,__chosen__,BJ US Equity,Consumer Staples,GICS_SECTOR_NAME,,True
BRBR,BRBR US Equity,BELLRING BRANDS INC,Consumer Staples,"Consumer, Non-cyclical",BBG013QNJHP8,True
